176.9.117.99 - - "2020-03-16 01:27:08" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/137 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:27:14" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/118 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:27:41" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/249 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:27:45" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/251 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:27:50" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/252 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:27:54" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/257 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:27:58" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/261 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:28:02" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/262 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:28:06" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/264 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:28:11" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/265 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:28:36" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/241 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:28:39" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/246 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
